fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
outlook.be;outlook.office365.com:993;%EMAILADDRESS%
outlook.hu;outlook.office365.com:993;%EMAILADDRESS%
outlook.com.au;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.hk;outlook.office365.com:993,imap-mail.outlook.com:993;%EMAILADDRESS%
livemail.tw;outlook.office365.com:993;%EMAILADDRESS%
live.nl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.be;outlook.office365.com:993;%EMAILADDRESS%
msn.com;outlook.office365.com:993,imap-mail.outlook.com:993;%EMAILADDRESS%
outlook.at;outlook.office365.com:993;%EMAILADDRESS%
outlook.sa;outlook.office365.com:993;%EMAILADDRESS%
hippie.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mac.com;imap.mail.me.com:993,imap.mail.me.com:993;%EMAILADDRESS%
me.com;imap.mail.me.com:993,imap.mail.me.com:993;%EMAILADDRESS%
iiyama-catv.ne.jp;imap.iiyama-catv.ne.jp:993;%EMAILADDRESS%
trustme.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
minprivatemail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
petersen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
ispgateway.de;sslin.df.eu:993,mail.ispgateway.de:993;%EMAILADDRESS%
tastmig.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
e-mail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
janis.or.jp;imaps.janis.or.jp:993;%EMAILADDRESS%
contractor.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
comic.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
jet.ne.jp;imap.jet.ne.jp:993,imap.jet.ne.jp:993;%EMAILADDRESS%
christiansen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
kvalme.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mikaelsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
fald.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mailroyal.dk;imap.jubii.dk:993;%EMAILADDRESS%
winning.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
reggaefan.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
tip.nl;imap.kpnmail.nl:993,imap.telfort.nl:993;%EMAILADDRESS%
hardworking.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
kulturel.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
sofort-start.de;imap.1und1.de:993,imap.1und1.de:143;%EMAILADDRESS%
netbruger.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
blu.it;imapmail.libero.it:993;%EMAILADDRESS%
inwind.it;imapmail.libero.it:993;%EMAILADDRESS%
hotmail.es;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.za;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.jp;outlook.office365.com:993;%EMAILADDRESS%
live.ca;outlook.office365.com:993;%EMAILADDRESS%
hotmail.lt;outlook.office365.com:993;%EMAILADDRESS%
outlook.cl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.cl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.fi;outlook.office365.com:993;%EMAILADDRESS%
hotmail.hu;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.br;outlook.office365.com:993;%EMAILADDRESS%
live.com.pt;outlook.office365.com:993;%EMAILADDRESS%
outlook.es;outlook.office365.com:993;%EMAILADDRESS%
hotmail.rs;outlook.office365.com:993;%EMAILADDRESS%
hotmail.sk;outlook.office365.com:993;%EMAILADDRESS%
live.jp;outlook.office365.com:993;%EMAILADDRESS%
angelic.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
hotmail.nl;outlook.office365.com:993;%EMAILADDRESS%
whoever.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
yours.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
live.de;outlook.office365.com:993;%EMAILADDRESS%
live.com.sg;outlook.office365.com:993;%EMAILADDRESS%
pengemand.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
magenta.de;secureimap.t-online.de:993;%EMAILADDRESS%
secretary.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
thomsen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
e-postboks.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mindless.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
arizona.usa.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
klog.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
christensen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
dallasmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
fraekkert.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
sleepy.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
popme.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
meo.pt;imap.sapo.pt:993;%EMAILADDRESS%
mail.jubii.dk;imap.jubii.dk:993;%EMAILADDRESS%
hot-shot.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
