fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-25
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
mx6.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
netbruger.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
muslim.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mx22.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
onsmail.nl;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
nyu.edu;smtp.gmail.com:465;%EMAILADDRESS%
mx81.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
one.com;send.one.com:465;%EMAILADDRESS%
natteliv.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
netscape.net;smtp.aol.com:465;%EMAILADDRESS%
nvbell.net;outbound.att.net:465;%EMAILADDRESS%
optician.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
peoplepc.com;smtpauth.peoplepc.com:587;%EMAILADDRESS%
orange.fr;smtp.orange.fr:465;%EMAILADDRESS%
po.wind.ne.jp;po.wind.ne.jp:587;%EMAILADDRESS%
outlook.cl;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
outlook.com.ar;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
outlook.jp;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
posteo.ca;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.gr;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.ie;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.me;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.nl;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.pt;posteo.de:465,posteo.de:587;%EMAILADDRESS%
prodigy.net;outbound.att.net:465;%EMAILADDRESS%
