fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
live.ca;outlook.office365.com:993;%EMAILADDRESS%
hotmail.lt;outlook.office365.com:993;%EMAILADDRESS%
outlook.cl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.cl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.fi;outlook.office365.com:993;%EMAILADDRESS%
hotmail.hu;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.br;outlook.office365.com:993;%EMAILADDRESS%
live.com.pt;outlook.office365.com:993;%EMAILADDRESS%
outlook.es;outlook.office365.com:993;%EMAILADDRESS%
hotmail.rs;outlook.office365.com:993;%EMAILADDRESS%
hotmail.sk;outlook.office365.com:993;%EMAILADDRESS%
live.jp;outlook.office365.com:993;%EMAILADDRESS%
angelic.com;imap.mail.com:993;%EMAILADDRESS%
hotmail.nl;outlook.office365.com:993;%EMAILADDRESS%
whoever.com;imap.mail.com:993;%EMAILADDRESS%
yours.com;imap.mail.com:993;%EMAILADDRESS%
live.de;outlook.office365.com:993;%EMAILADDRESS%
live.com.sg;outlook.office365.com:993;%EMAILADDRESS%
pengemand.dk;imap.jubii.dk:993;%EMAILADDRESS%
magenta.de;secureimap.t-online.de:993;%EMAILADDRESS%
secretary.net;imap.mail.com:993;%EMAILADDRESS%
thomsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
e-postboks.dk;imap.jubii.dk:993;%EMAILADDRESS%
mindless.com;imap.mail.com:993;%EMAILADDRESS%
arizona.usa.com;imap.mail.com:993;%EMAILADDRESS%
klog.dk;imap.jubii.dk:993;%EMAILADDRESS%
christensen.dk;imap.jubii.dk:993;%EMAILADDRESS%
dallasmail.com;imap.mail.com:993;%EMAILADDRESS%
fraekkert.dk;imap.jubii.dk:993;%EMAILADDRESS%
sleepy.dk;imap.jubii.dk:993;%EMAILADDRESS%
popme.dk;imap.jubii.dk:993;%EMAILADDRESS%
meo.pt;imap.sapo.pt:993;%EMAILADDRESS%
mail.jubii.dk;imap.jubii.dk:993;%EMAILADDRESS%
hot-shot.com;imap.mail.com:993;%EMAILADDRESS%
hour.com;imap.mail.com:993;%EMAILADDRESS%
mad.scientist.com;imap.mail.com:993;%EMAILADDRESS%
hotmail.dk;outlook.office365.com:993;%EMAILADDRESS%
casema.nl;imap.ziggo.nl:993;%EMAILADDRESS%
razcall.com;imap.ziggo.nl:993;%EMAILADDRESS%
arubapec.it;imaps.pec.aruba.it:993;%EMAILADDRESS%
taxidriver.dk;imap.jubii.dk:993;%EMAILADDRESS%
svendsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
aol.es;imap.aol.com:993;%EMAILADDRESS%
jubiipostadresse.dk;imap.jubii.dk:993;%EMAILADDRESS%
homemail.com;imap.mail.com:993;%EMAILADDRESS%
singapore.com;imap.mail.com:993;%EMAILADDRESS%
prokonto.pl;poczta.o2.pl:993;%EMAILLOCALPART%
google.com;imap.gmail.com:993;%EMAILADDRESS%
tiscali.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
elvis.dk;imap.jubii.dk:993;%EMAILADDRESS%
privatpost.dk;imap.jubii.dk:993;%EMAILADDRESS%
video.dk;imap.jubii.dk:993;%EMAILADDRESS%
poczta.onet.eu;imap.poczta.onet.pl:993;%EMAILADDRESS%
republika.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
onmicrosoft.com;outlook.office365.com:993;%EMAILADDRESS%
onsnetnuenen.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
adres.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
accountant.com;imap.mail.com:993;%EMAILADDRESS%
live.com;outlook.office365.com:993;%EMAILADDRESS%
live.cl;outlook.office365.com:993;%EMAILADDRESS%
tiscalimail.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
outlook.com.tr;outlook.office365.com:993;%EMAILADDRESS%
hotmail.gr;outlook.office365.com:993;%EMAILADDRESS%
outlook.com;outlook.office365.com:993;%EMAILADDRESS%
outlook.dk;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.tr;outlook.office365.com:993;%EMAILADDRESS%
outlook.co.th;outlook.office365.com:993;%EMAILADDRESS%
outlook.fr;outlook.office365.com:993;%EMAILADDRESS%
windowslive.com;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.th;outlook.office365.com:993;%EMAILADDRESS%
hotmail.ph;outlook.office365.com:993;%EMAILADDRESS%
saintly.com;imap.mail.com:993;%EMAILADDRESS%
info.dk;imap.jubii.dk:993;%EMAILADDRESS%
superbruger.dk;imap.jubii.dk:993;%EMAILADDRESS%
12move.dk;imap.jubii.dk:993;%EMAILADDRESS%
californiamail.com;imap.mail.com:993;%EMAILADDRESS%
nospam.dk;imap.jubii.dk:993;%EMAILADDRESS%
onet.com.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
pobox.com;mail.pobox.com:993;%EMAILADDRESS%
publicist.com;imap.mail.com:993;%EMAILADDRESS%
iloveu.dk;imap.jubii.dk:993;%EMAILADDRESS%
maskulin.dk;imap.jubii.dk:993;%EMAILADDRESS%
posteo.jp;posteo.de:993;%EMAILADDRESS%
posteo.com.br;posteo.de:993;%EMAILADDRESS%
posteo.nz;posteo.de:993;%EMAILADDRESS%
posteo.ch;posteo.de:993;%EMAILADDRESS%
posteo.sg;posteo.de:993;%EMAILADDRESS%
posteo.se;posteo.de:993;%EMAILADDRESS%
posteo.de;posteo.de:993;%EMAILADDRESS%
posteo.gl;posteo.de:993;%EMAILADDRESS%
posteo.es;posteo.de:993;%EMAILADDRESS%
posteo.fi;posteo.de:993;%EMAILADDRESS%
posteo.lu;posteo.de:993;%EMAILADDRESS%
posteo.cl;posteo.de:993;%EMAILADDRESS%
posteo.com;posteo.de:993;%EMAILADDRESS%
posteo.at;posteo.de:993;%EMAILADDRESS%
posteo.be;posteo.de:993;%EMAILADDRESS%
posteo.us;posteo.de:993;%EMAILADDRESS%
posteo.ee;posteo.de:993;%EMAILADDRESS%
posteo.si;posteo.de:993;%EMAILADDRESS%
posteo.mx;posteo.de:993;%EMAILADDRESS%
posteo.pt;posteo.de:993;%EMAILADDRESS%
posteo.gr;posteo.de:993;%EMAILADDRESS%
posteo.co;posteo.de:993;%EMAILADDRESS%
posteo.ca;posteo.de:993;%EMAILADDRESS%
posteo.ie;posteo.de:993;%EMAILADDRESS%
posteo.net;posteo.de:993;%EMAILADDRESS%
posteo.nl;posteo.de:993;%EMAILADDRESS%
posteo.hr;posteo.de:993;%EMAILADDRESS%
posteo.it;posteo.de:993;%EMAILADDRESS%
cyberjunkie.dk;imap.jubii.dk:993;%EMAILADDRESS%
innocent.com;imap.mail.com:993;%EMAILADDRESS%
reborn.com;imap.mail.com:993;%EMAILADDRESS%
songwriter.net;imap.mail.com:993;%EMAILADDRESS%
o2.pl;poczta.o2.pl:993;%EMAILLOCALPART%
qq.com;imap.qq.com:993;%EMAILADDRESS%
q.com;mail.q.com:993;%EMAILADDRESS%
quicknet.nl;imap.ziggo.nl:993;%EMAILADDRESS%
jakobsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
jubiipost.dk;imap.jubii.dk:993;%EMAILADDRESS%
knus.dk;imap.jubii.dk:993;%EMAILADDRESS%
hairdresser.net;imap.mail.com:993;%EMAILADDRESS%
toke.com;imap.mail.com:993;%EMAILADDRESS%
archaeologist.com;imap.mail.com:993;%EMAILADDRESS%
irelandmail.com;imap.mail.com:993;%EMAILADDRESS%
op.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
yahoo.co.uk;imap.mail.yahoo.com:993;%EMAILADDRESS%
rr.com;mail.twc.com:993;%EMAILADDRESS%
revenue.com;imap.mail.com:993;%EMAILADDRESS%
online.de;imap.1und1.de:993;%EMAILADDRESS%
onlinehome.de;imap.1und1.de:993;%EMAILADDRESS%
schlund.de;imap.1und1.de:993;%EMAILADDRESS%
spainmail.com;imap.mail.com:993;%EMAILADDRESS%
bemybaby.dk;imap.jubii.dk:993;%EMAILADDRESS%
nicemail.dk;imap.jubii.dk:993;%EMAILADDRESS%
skrivnu.dk;imap.jubii.dk:993;%EMAILADDRESS%
secureserver.net;imap.secureserver.net:993;%EMAILADDRESS%
sfr.fr;imap.sfr.fr:993;%EMAILADDRESS%
sky.com;imap.tools.sky.com:993;%EMAILADDRESS%
hyperpost.dk;imap.jubii.dk:993;%EMAILADDRESS%
it.dk;imap.jubii.dk:993;%EMAILADDRESS%
engineer.com;imap.mail.com:993;%EMAILADDRESS%
active24.com;email.active24.com:993;%EMAILADDRESS%
execs.com;imap.mail.com:993;%EMAILADDRESS%
mexicomail.com;imap.mail.com:993;%EMAILADDRESS%
weirdness.com;imap.mail.com:993;%EMAILADDRESS%
hetnet.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
sofortstart.de;imap.1und1.de:993;%EMAILADDRESS%
kundenserver.de;imap.1und1.de:993;%EMAILADDRESS%
quake.dk;imap.jubii.dk:993;%EMAILADDRESS%
strato.de;imap.strato.de:993;%EMAILADDRESS%
jubiiconnect.dk;imap.jubii.dk:993;%EMAILADDRESS%
bell.net;imap.bell.net:993;%EMAILADDRESS%
instructor.net;imap.mail.com:993;%EMAILADDRESS%
vittig.dk;imap.jubii.dk:993;%EMAILADDRESS%
onsbrabantnet.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
teol.net;imap.teol.net:993;%EMAILADDRESS%
planet.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
on.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
kpnmail.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
onsmail.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
madonnafan.com;imap.mail.com:993;%EMAILADDRESS%
teachers.org;imap.mail.com:993;%EMAILADDRESS%
computer4u.com;imap.mail.com:993;%EMAILADDRESS%
legislator.com;imap.mail.com:993;%EMAILADDRESS%
gason.dk;imap.jubii.dk:993;%EMAILADDRESS%
iversen.dk;imap.jubii.dk:993;%EMAILADDRESS%
virginmedia.com;imap.virginmedia.com:993;%EMAILADDRESS%
kabelmail.de;imap.vodafonemail.de:993;%EMAILADDRESS%
webhuset.no;imap.webhuset.no:993;%EMAILADDRESS%
petlover.com;imap.mail.com:993;%EMAILADDRESS%
dublin.com;imap.mail.com:993;%EMAILADDRESS%
clerk.com;imap.mail.com:993;%EMAILADDRESS%
