fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2022-10-11
domain;smtp_host:smtp_port;smtp_login_template
politician.com;smtp.mail.com:587;%EMAILADDRESS%
post.com;smtp.mail.com:587;%EMAILADDRESS%
realtyagent.com;smtp.mail.com:587;%EMAILADDRESS%
publicist.com;smtp.mail.com:587;%EMAILADDRESS%
reborn.com;smtp.mail.com:587;%EMAILADDRESS%
reggaefan.com;smtp.mail.com:587;%EMAILADDRESS%
representative.com;smtp.mail.com:587;%EMAILADDRESS%
religious.com;smtp.mail.com:587;%EMAILADDRESS%
rockfan.com;smtp.mail.com:587;%EMAILADDRESS%
rescueteam.com;smtp.mail.com:587;%EMAILADDRESS%
repairman.com;smtp.mail.com:587;%EMAILADDRESS%
rocketship.com;smtp.mail.com:587;%EMAILADDRESS%
royal.net;smtp.mail.com:587;%EMAILADDRESS%
revenue.com;smtp.mail.com:587;%EMAILADDRESS%
saintly.com;smtp.mail.com:587;%EMAILADDRESS%
snakebite.com;smtp.mail.com:587;%EMAILADDRESS%
soon.com;smtp.mail.com:587;%EMAILADDRESS%
tokyo.com;smtp.mail.com:587;%EMAILADDRESS%
secretary.net;smtp.mail.com:587;%EMAILADDRESS%
seductive.com;smtp.mail.com:587;%EMAILADDRESS%
salesperson.net;smtp.mail.com:587;%EMAILADDRESS%
who.net;smtp.mail.com:587;%EMAILADDRESS%
scientist.com;smtp.mail.com:587;%EMAILADDRESS%
weirdness.com;smtp.mail.com:587;%EMAILADDRESS%
songwriter.net;smtp.mail.com:587;%EMAILADDRESS%
techie.com;smtp.mail.com:587;%EMAILADDRESS%
technologist.com;smtp.mail.com:587;%EMAILADDRESS%
singapore.com;smtp.mail.com:587;%EMAILADDRESS%
toothfairy.com;smtp.mail.com:587;%EMAILADDRESS%
tvstar.com;smtp.mail.com:587;%EMAILADDRESS%
teachers.org;smtp.mail.com:587;%EMAILADDRESS%
toke.com;smtp.mail.com:587;%EMAILADDRESS%
umpire.com;smtp.mail.com:587;%EMAILADDRESS%
worker.com;smtp.mail.com:587;%EMAILADDRESS%
wallet.com;smtp.mail.com:587;%EMAILADDRESS%
whoever.com;smtp.mail.com:587;%EMAILADDRESS%
witty.com;smtp.mail.com:587;%EMAILADDRESS%
winning.com;smtp.mail.com:587;%EMAILADDRESS%
702com.net;smtp.702com.net:587;%EMAILADDRESS%
9online.fr;smtp.9online.fr:465;%EMAILADDRESS%
abc.plala.or.jp;secure.plala.or.jp:587;%EMAILADDRESS%
acsalaska.net;mail.acsalaska.net:465;%EMAILADDRESS%
berkshire.rr.com;mail.twc.com:587;%EMAILADDRESS%
neo.rr.com;mail.twc.com:587;%EMAILADDRESS%
adelphia.net;mail.twc.com:587;%EMAILADDRESS%
dc.rr.com;mail.twc.com:587;%EMAILADDRESS%
gt.rr.com;mail.twc.com:587;%EMAILADDRESS%
carolina.rr.com;mail.twc.com:587;%EMAILADDRESS%
columbus.rr.com;mail.twc.com:587;%EMAILADDRESS%
cfl.rr.com;mail.brighthouse.com:587;%EMAILADDRESS%
hawaii.rr.com;mail.twc.com:587;%EMAILADDRESS%
insight.rr.com;mail.twc.com:587;%EMAILADDRESS%
si.rr.com;mail.twc.com:587;%EMAILADDRESS%
elmore.rr.com;mail.twc.com:587;%EMAILADDRESS%
ec.rr.com;mail.twc.com:587;%EMAILADDRESS%
cinci.rr.com;mail.twc.com:587;%EMAILADDRESS%
woh.rr.com;mail.twc.com:587;%EMAILADDRESS%
kc.rr.com;mail.twc.com:587;%EMAILADDRESS%
nyc.rr.com;mail.twc.com:587;%EMAILADDRESS%
san.rr.com;mail.twc.com:587;%EMAILADDRESS%
stny.rr.com;mail.twc.com:587;%EMAILADDRESS%
twcny.rr.com;mail.twc.com:587;%EMAILADDRESS%
sw.rr.com;mail.twc.com:587;%EMAILADDRESS%
bak.rr.com;mail.twc.com:587;%EMAILADDRESS%
socal.rr.com;mail.twc.com:587;%EMAILADDRESS%
hvc.rr.com;mail.twc.com:587;%EMAILADDRESS%
austin.rr.com;mail.twc.com:587;%EMAILADDRESS%
satx.rr.com;mail.twc.com:587;%EMAILADDRESS%
indy.rr.com;mail.twc.com:587;%EMAILADDRESS%
stx.rr.com;mail.twc.com:587;%EMAILADDRESS%
hot.rr.com;mail.twc.com:587;%EMAILADDRESS%
eufaula.rr.com;mail.twc.com:587;%EMAILADDRESS%
panhandle.rr.com;mail.twc.com:587;%EMAILADDRESS%
bham.rr.com;mail.twc.com:587;%EMAILADDRESS%
mi.rr.com;mail.twc.com:587;%EMAILADDRESS%
twmi.rr.com;mail.twc.com:587;%EMAILADDRESS%
pa.rr.com;mail.twc.com:587;%EMAILADDRESS%
aernet.ca;smtp.xplornet.com:465;%EMAILADDRESS%
agt.net;mail.agt.net:25;%EMAILADDRESS%
alaska.net;mail.alaska.net:465;%EMAILADDRESS%
